index,s_m,phase,theta_deg,x_m,y_m,z_m,rx,ry,rz,pivot_x_m,pivot_y_m,pivot_z_m
933,0.376210,0.0262,1.2581,0.499674,0.076210,0.580047,-0.089718,0.155969,-1.611568,0.501982,0.075532,0.594853
934,0.376613,0.0766,3.6774,0.499051,0.076613,0.580158,-0.123799,0.188592,-1.610336,0.501982,0.075935,0.594853
935,0.377016,0.1270,6.0968,0.498434,0.077016,0.580295,-0.157887,0.221199,-1.608578,0.501982,0.076338,0.594853
936,0.377419,0.1774,8.5161,0.497822,0.077419,0.580457,-0.191979,0.253786,-1.606292,0.501982,0.076742,0.594853
937,0.377823,0.2278,10.9355,0.497218,0.077823,0.580646,-0.226072,0.286352,-1.603477,0.501982,0.077145,0.594853
938,0.378226,0.2782,10.6452,0.497290,0.078226,0.580622,-0.221981,0.282445,-1.603842,0.501982,0.077548,0.594853
939,0.378629,0.3286,8.2258,0.497895,0.078629,0.580436,-0.187888,0.249877,-1.606594,0.501982,0.077951,0.594853
940,0.379032,0.3790,5.8065,0.498508,0.079032,0.580277,-0.153796,0.217287,-1.608816,0.501982,0.078354,0.594853
941,0.379435,0.4294,3.3871,0.499126,0.079435,0.580143,-0.119709,0.184678,-1.610512,0.501982,0.078758,0.594853
942,0.379839,0.4798,0.9677,0.499749,0.079839,0.580036,-0.085629,0.152054,-1.611680,0.501982,0.079161,0.594853
943,0.380242,0.5302,-1.4516,0.500377,0.080242,0.579955,-0.051560,0.119416,-1.612322,0.501982,0.079564,0.594853
944,0.380645,0.5806,-3.8710,0.501007,0.080645,0.579900,-0.017503,0.086769,-1.612439,0.501982,0.079967,0.594853
945,0.381048,0.6310,-6.2903,0.501639,0.081048,0.579872,0.016537,0.054114,-1.612031,0.501982,0.080371,0.594853
946,0.381452,0.6815,-8.7097,0.502272,0.081452,0.579871,0.050558,0.021454,-1.611099,0.501982,0.080774,0.594853
947,0.381855,0.7319,-11.1290,0.502904,0.081855,0.579897,0.084558,-0.011207,-1.609642,0.501982,0.081177,0.594853
948,0.382258,0.7823,-10.4516,0.502727,0.082258,0.579887,0.075040,-0.002062,-1.610103,0.501982,0.081580,0.594853
949,0.382661,0.8327,-8.0323,0.502095,0.082661,0.579869,0.041034,0.030599,-1.611413,0.501982,0.081984,0.594853
950,0.383065,0.8831,-5.6129,0.501462,0.083065,0.579877,0.007007,0.063258,-1.612198,0.501982,0.082387,0.594853
951,0.383468,0.9335,-3.1935,0.500831,0.083468,0.579913,-0.027038,0.095911,-1.612459,0.501982,0.082790,0.594853
952,0.383871,0.9839,-0.7742,0.500201,0.083871,0.579975,-0.061098,0.128556,-1.612195,0.501982,0.083193,0.594853
953,0.384274,0.0343,1.6452,0.499574,0.084274,0.580063,-0.095171,0.161190,-1.611406,0.501982,0.083596,0.594853
954,0.384677,0.0847,4.0645,0.498952,0.084677,0.580178,-0.129253,0.193810,-1.610090,0.501982,0.084000,0.594853
955,0.385081,0.1351,6.4839,0.498335,0.085081,0.580319,-0.163341,0.226414,-1.608247,0.501982,0.084403,0.594853
956,0.385484,0.1855,8.9032,0.497725,0.085484,0.580486,-0.197434,0.258998,-1.605877,0.501982,0.084806,0.594853
957,0.385887,0.2359,11.3226,0.497122,0.085887,0.580678,-0.231527,0.291560,-1.602977,0.501982,0.085209,0.594853
958,0.386290,0.2863,10.2581,0.497387,0.086290,0.580590,-0.216526,0.277236,-1.604318,0.501982,0.085613,0.594853
959,0.386694,0.3367,7.8387,0.497993,0.086694,0.580409,-0.182433,0.244664,-1.606985,0.501982,0.086016,0.594853
960,0.387097,0.3871,5.4194,0.498606,0.087097,0.580254,-0.148342,0.212070,-1.609123,0.501982,0.086419,0.594853
961,0.387500,0.4375,3.0000,0.499225,0.087500,0.580124,-0.114256,0.179459,-1.610734,0.501982,0.086822,0.594853
962,0.387903,0.4879,0.5806,0.499850,0.087903,0.580021,-0.080177,0.146832,-1.611818,0.501982,0.087225,0.594853
963,0.388306,0.5383,-1.8387,0.500478,0.088306,0.579944,-0.046110,0.114193,-1.612376,0.501982,0.087629,0.594853
964,0.388710,0.5887,-4.2581,0.501108,0.088710,0.579894,-0.012056,0.081544,-1.612409,0.501982,0.088032,0.594853
965,0.389113,0.6391,-6.6774,0.501741,0.089113,0.579870,0.021982,0.048888,-1.611917,0.501982,0.088435,0.594853
966,0.389516,0.6895,-9.0968,0.502373,0.089516,0.579873,0.056000,0.016228,-1.610901,0.501982,0.088838,0.594853
967,0.389919,0.7399,-11.5161,0.503005,0.089919,0.579903,0.089995,-0.016433,-1.609360,0.501982,0.089242,0.594853
968,0.390323,0.7903,-10.0645,0.502626,0.090323,0.579882,0.069601,0.003164,-1.610348,0.501982,0.089645,0.594853
969,0.390726,0.8407,-7.6452,0.501994,0.090726,0.579868,0.035591,0.035825,-1.611574,0.501982,0.090048,0.594853
970,0.391129,0.8911,-5.2258,0.501361,0.091129,0.579881,0.001561,0.068482,-1.612275,0.501982,0.090451,0.594853
971,0.391532,0.9415,-2.8065,0.500730,0.091532,0.579921,-0.032486,0.101135,-1.612453,0.501982,0.090854,0.594853
972,0.391935,0.9919,-0.3871,0.500100,0.091935,0.579987,-0.066549,0.133778,-1.612104,0.501982,0.091258,0.594853
973,0.392339,0.0423,2.0323,0.499475,0.092339,0.580080,-0.100623,0.166410,-1.611231,0.501982,0.091661,0.594853
974,0.392742,0.0927,4.4516,0.498853,0.092742,0.580199,-0.134707,0.199028,-1.609831,0.501982,0.092064,0.594853
975,0.393145,0.1431,6.8710,0.498237,0.093145,0.580344,-0.168796,0.231629,-1.607904,0.501982,0.092467,0.594853
976,0.393548,0.1935,9.2903,0.497628,0.093548,0.580515,-0.202889,0.264210,-1.605448,0.501982,0.092871,0.594853
977,0.393952,0.2440,11.7097,0.497027,0.093952,0.580711,-0.236982,0.296768,-1.602464,0.501982,0.093274,0.594853
978,0.394355,0.2944,9.8710,0.497483,0.094355,0.580560,-0.211071,0.272026,-1.604780,0.501982,0.093677,0.594853
979,0.394758,0.3448,7.4516,0.498090,0.094758,0.580382,-0.176978,0.239450,-1.607362,0.501982,0.094080,0.594853
980,0.395161,0.3952,5.0323,0.498705,0.095161,0.580231,-0.142888,0.206854,-1.609416,0.501982,0.094484,0.594853
981,0.395565,0.4456,2.6129,0.499325,0.095565,0.580106,-0.108803,0.174240,-1.610943,0.501982,0.094887,0.594853
982,0.395968,0.4960,0.1935,0.499950,0.095968,0.580007,-0.074726,0.141611,-1.611943,0.501982,0.095290,0.594853
983,0.396371,0.5464,-2.2258,0.500578,0.096371,0.579934,-0.040660,0.108970,-1.612417,0.501982,0.095693,0.594853
984,0.396774,0.5968,-4.6452,0.501209,0.096774,0.579888,-0.006609,0.076320,-1.612366,0.501982,0.096096,0.594853
985,0.397177,0.6472,-7.0645,0.501842,0.097177,0.579869,0.027426,0.043663,-1.611790,0.501982,0.096500,0.594853
986,0.397581,0.6976,-9.4839,0.502474,0.097581,0.579876,0.061441,0.011002,-1.610690,0.501982,0.096903,0.594853
987,0.397984,0.7480,-11.9032,0.503106,0.097984,0.579911,0.095433,-0.021659,-1.609065,0.501982,0.097306,0.594853
988,0.398387,0.7984,-9.6774,0.502525,0.098387,0.579878,0.064161,0.008389,-1.610579,0.501982,0.097709,0.594853
989,0.398790,0.8488,-7.2581,0.501892,0.098790,0.579869,0.030148,0.041050,-1.611721,0.501982,0.098113,0.594853
990,0.399194,0.8992,-4.8387,0.501260,0.099194,0.579886,-0.003885,0.073707,-1.612339,0.501982,0.098516,0.594853
991,0.399597,0.9496,-2.4194,0.500629,0.099597,0.579930,-0.037935,0.106358,-1.612432,0.501982,0.098919,0.594853
992,0.400000,0.0000,0.0000,0.500000,0.100000,0.580000,-0.072000,0.139000,-1.612000,0.501982,0.099322,0.594853
993,0.400403,0.0504,2.4194,0.499375,0.100403,0.580097,-0.106076,0.171630,-1.611042,0.501982,0.099725,0.594853
994,0.400806,0.1008,4.8387,0.498754,0.100806,0.580220,-0.140161,0.204245,-1.609558,0.501982,0.100129,0.594853
995,0.401210,0.1512,7.2581,0.498139,0.101210,0.580369,-0.174251,0.236843,-1.607546,0.501982,0.100532,0.594853
996,0.401613,0.2016,9.6774,0.497531,0.101613,0.580545,-0.208344,0.269421,-1.605006,0.501982,0.100935,0.594853
997,0.402016,0.2520,11.9032,0.496979,0.102016,0.580728,-0.239709,0.299371,-1.602203,0.501982,0.101338,0.594853
998,0.402419,0.3024,9.4839,0.497580,0.102419,0.580530,-0.205616,0.266815,-1.605229,0.501982,0.101742,0.594853
999,0.402823,0.3528,7.0645,0.498188,0.102823,0.580357,-0.171523,0.234236,-1.607727,0.501982,0.102145,0.594853
1000,0.403226,0.4032,4.6452,0.498804,0.103226,0.580209,-0.137434,0.201637,-1.609696,0.501982,0.102548,0.594853
1001,0.403629,0.4536,2.2258,0.499425,0.103629,0.580088,-0.103350,0.169020,-1.611138,0.501982,0.102951,0.594853
1002,0.404032,0.5040,-0.1935,0.500050,0.104032,0.579993,-0.069274,0.136389,-1.612054,0.501982,0.103354,0.594853
1003,0.404435,0.5544,-2.6129,0.500679,0.104435,0.579925,-0.035211,0.103746,-1.612444,0.501982,0.103758,0.594853
1004,0.404839,0.6048,-5.0323,0.501310,0.104839,0.579883,-0.001162,0.071095,-1.612309,0.501982,0.104161,0.594853
1005,0.405242,0.6552,-7.4516,0.501943,0.105242,0.579868,0.032870,0.038437,-1.611649,0.501982,0.104564,0.594853
1006,0.405645,0.7056,-9.8710,0.502576,0.105645,0.579880,0.066881,0.005777,-1.610465,0.501982,0.104967,0.594853
1007,0.406048,0.7560,-11.7097,0.503056,0.106048,0.579907,0.092714,-0.019046,-1.609214,0.501982,0.105371,0.594853
1008,0.406452,0.8065,-9.2903,0.502424,0.106452,0.579875,0.058720,0.013615,-1.610797,0.501982,0.105774,0.594853
1009,0.406855,0.8569,-6.8710,0.501791,0.106855,0.579870,0.024704,0.046276,-1.611855,0.501982,0.106177,0.594853
1010,0.407258,0.9073,-4.4516,0.501159,0.107258,0.579891,-0.009332,0.078932,-1.612389,0.501982,0.106580,0.594853
1011,0.407661,0.9577,-2.0323,0.500528,0.107661,0.579939,-0.043385,0.111582,-1.612398,0.501982,0.106984,0.594853
1012,0.408065,0.0081,0.3871,0.499900,0.108065,0.580014,-0.077451,0.144222,-1.611882,0.501982,0.107387,0.594853
1013,0.408468,0.0585,2.8065,0.499275,0.108468,0.580115,-0.111529,0.176849,-1.610840,0.501982,0.107790,0.594853
1014,0.408871,0.1089,5.2258,0.498655,0.108871,0.580242,-0.145615,0.209462,-1.609271,0.501982,0.108193,0.594853
1015,0.409274,0.1593,7.6452,0.498042,0.109274,0.580396,-0.179705,0.242057,-1.607175,0.501982,0.108596,0.594853
1016,0.409677,0.2097,10.0645,0.497435,0.109677,0.580575,-0.213799,0.274631,-1.604551,0.501982,0.109000,0.594853
1017,0.410081,0.2601,11.5161,0.497075,0.110081,0.580695,-0.234254,0.294164,-1.602722,0.501982,0.109403,0.594853
1018,0.410484,0.3105,9.0968,0.497677,0.110484,0.580500,-0.200161,0.261604,-1.605664,0.501982,0.109806,0.594853
1019,0.410887,0.3609,6.6774,0.498286,0.110887,0.580331,-0.166069,0.229021,-1.608077,0.501982,0.110209,0.594853
1020,0.411290,0.4113,4.2581,0.498903,0.111290,0.580188,-0.131980,0.196419,-1.609962,0.501982,0.110613,0.594853
1021,0.411694,0.4617,1.8387,0.499524,0.111694,0.580071,-0.097897,0.163800,-1.611320,0.501982,0.111016,0.594853
1022,0.412097,0.5121,-0.5806,0.500151,0.112097,0.579981,-0.063823,0.131167,-1.612152,0.501982,0.111419,0.594853
1023,0.412500,0.5625,-3.0000,0.500780,0.112500,0.579917,-0.029762,0.098523,-1.612458,0.501982,0.111822,0.594853
1024,0.412903,0.6129,-5.4194,0.501412,0.112903,0.579879,0.004284,0.065870,-1.612239,0.501982,0.112225,0.594853
1025,0.413306,0.6633,-7.8387,0.502044,0.113306,0.579868,0.038313,0.033212,-1.611495,0.501982,0.112629,0.594853
1026,0.413710,0.7137,-10.2581,0.502677,0.113710,0.579884,0.072321,0.000551,-1.610227,0.501982,0.113032,0.594853
1027,0.414113,0.7641,-11.3226,0.502955,0.114113,0.579900,0.087277,-0.013820,-1.609503,0.501982,0.113435,0.594853
1028,0.414516,0.8145,-8.9032,0.502323,0.114516,0.579872,0.053279,0.018841,-1.611002,0.501982,0.113838,0.594853
1029,0.414919,0.8649,-6.4839,0.501690,0.114919,0.579871,0.019259,0.051501,-1.611976,0.501982,0.114242,0.594853
1030,0.415323,0.9153,-4.0645,0.501058,0.115323,0.579897,-0.014780,0.084156,-1.612426,0.501982,0.114645,0.594853
1031,0.415726,0.9657,-1.6452,0.500427,0.115726,0.579949,-0.048835,0.116805,-1.612351,0.501982,0.115048,0.594853
1032,0.416129,0.0161,0.7742,0.499799,0.116129,0.580028,-0.082903,0.149443,-1.611751,0.501982,0.115451,0.594853
1033,0.416532,0.0665,3.1935,0.499176,0.116532,0.580133,-0.116982,0.182069,-1.610624,0.501982,0.115854,0.594853
1034,0.416935,0.1169,5.6129,0.498557,0.116935,0.580265,-0.151069,0.214679,-1.608971,0.501982,0.116258,0.594853
1035,0.417339,0.1673,8.0323,0.497944,0.117339,0.580423,-0.185160,0.247270,-1.606791,0.501982,0.116661,0.594853
1036,0.417742,0.2177,10.4516,0.497338,0.117742,0.580606,-0.219253,0.279841,-1.604082,0.501982,0.117064,0.594853
1037,0.418145,0.2681,11.1290,0.497170,0.118145,0.580662,-0.228799,0.288956,-1.603229,0.501982,0.117467,0.594853
1038,0.418548,0.3185,8.7097,0.497774,0.118548,0.580471,-0.194706,0.256392,-1.606086,0.501982,0.117871,0.594853
1039,0.418952,0.3690,6.2903,0.498385,0.118952,0.580307,-0.160614,0.223806,-1.608414,0.501982,0.118274,0.594853
